	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABCB10	920.320187212276	1086.42653297717	1480.51580927039	1530.44209727686	1700.0799233112	1764.07376167315	1700.66746777164	1685.00666121403
ABCB11	0.639111241119636	0	0.832217992844512	0.892386062552105	3.06044990695085	0.890946344279371	2.07778554400933	1.33730687397938
ABCB4	77.3324601754759	104.793110464333	184.752394411482	176.692440385317	206.580368719182	114.04113206776	105.967062744476	127.044153028042
ABCB5	0.639111241119636	3.20795236115305	5.82552594991158	3.56954425020842	3.06044990695085	2.67283903283811	8.31114217603734	6.68653436989692
ABCB6	204.515597158283	248.081649262502	264.645321724555	286.455926079226	240.245317695642	237.882673922592	234.789766473055	251.413692308124
ABCB7	1478.26430070972	1454.27173705605	1508.8112210271	1489.39233839946	1571.54102721926	1297.21787727076	1307.96599995388	1309.22342962582
ABCB8	1133.14423050511	1125.99127876472	1031.95031112719	1044.98407924851	785.005401132893	1051.31668624966	998.375953896485	1071.18280605749
ABCB9	221.132489427394	210.655538382383	198.900100289838	189.185845261046	146.901595533641	208.481444561373	225.439731525013	244.727157938227
ABCC1	1859.17460041702	1954.71230539592	1810.90635242966	1827.60665610671	1752.10757172936	1748.03672747613	1791.05113893605	1849.49540671349
ABCC10	584.786785624467	613.78821843395	578.391505026936	581.835712783972	509.564909507317	577.333231093033	570.352131830562	585.740410802971
ABCC11	18.5342259924694	13.9011268983299	10.8188339069787	10.7086327506253	19.8929243951805	16.9279805413081	14.5444988080653	10.6984549918351
ABCC12	1.91733372335891	0	0.832217992844512	0	0	0.890946344279371	1.03889277200467	0
ABCC13	0	0	0	0.892386062552105	0	0	0	0
ABCC2	120.792024571611	113.347650094074	71.570747384628	66.9289546914079	70.3903478598696	109.586400346363	93.5003494804201	101.635322422433
ABCC3	2.55644496447854	1.06931745371768	2.49665397853354	0.892386062552105	3.06044990695085	1.78189268855874	3.116678316014	2.67461374795877
ABCC4	633.359239949559	676.877948203293	646.633380440186	628.239788036682	670.238529622236	675.337328963763	707.485977735178	722.145711948868
ABCC5	2439.48760735365	2355.70635054006	1913.26916554953	1753.53861291489	1772.00049612454	2025.12104054701	1971.81848126486	1872.22962357114
ABCC6	78.6106826577152	86.6147137511323	96.5372871699634	102.624397193492	113.236646557181	63.2571904438354	70.6447084963174	90.9368674305982
ABCC6P1	23.0080046803069	20.317031620636	30.7920657352469	35.6954425020842	32.1347240229839	16.0370341970287	19.7389626680887	21.3969099836702
